OF_id,fornecedor,data_emissao,prazo_entrega,data_entrega_real,valor,categoria,dias_prazo,dias_para_vencer,dias_entrega_real,valor_log,atraso,taxa_atraso_fornecedor,total_of_fornecedor,valor_medio_fornecedor
90,Fornecedor_20,2023-09-20,2023-09-29,2023-10-03,23046.39,Equipamentos,9,-974,13,10.045307809909435,1,0.3220338983050847,59,21740.94559322034
91,Fornecedor_15,2023-02-22,2023-03-04,2023-03-06,49928.48,Equipamentos,10,-1183,12,10.81836688886001,1,0.34615384615384615,52,27936.5375
92,Fornecedor_8,2023-01-03,2023-01-10,2023-01-08,26607.19,Equipamentos,7,-1236,5,10.188974342116776,0,0.3269230769230769,52,28221.404230769233
93,Fornecedor_6,2023-03-18,2023-04-11,2023-04-11,9258.94,Insumos,24,-1145,24,9.133452848137592,0,0.28888888888888886,45,26625.86022222222
94,Fornecedor_13,2023-05-30,2023-06-08,2023-06-11,25124.93,Medicamentos,9,-1087,12,10.131655659601714,1,0.2786885245901639,61,27560.733770491803
95,Fornecedor_2,2023-07-23,2023-08-14,2023-08-13,30896.38,Tecnologia,22,-1020,21,10.338426669646978,0,0.23255813953488372,43,24466.852790697674
96,Fornecedor_4,2023-09-21,2023-10-09,2023-10-08,43755.72,Tecnologia,18,-964,17,10.686400479990489,0,0.32,50,24059.582799999996
97,Fornecedor_15,2023-03-19,2023-04-03,2023-04-03,12969.0,Insumos,15,-1153,15,9.47039427731049,0,0.34615384615384615,52,27936.5375
98,Fornecedor_2,2023-07-20,2023-08-13,2023-08-19,17473.15,Insumos,24,-1021,30,9.76847792500341,1,0.23255813953488372,43,24466.852790697674
99,Fornecedor_14,2023-03-17,2023-04-08,2023-04-14,44782.04,Medicamentos,22,-1148,28,10.709584775298252,1,0.3404255319148936,47,27536.185319148935
100,Fornecedor_1,2023-11-29,2023-12-04,2023-12-06,22521.38,Equipamentos,5,-908,7,10.022264760506074,1,0.39215686274509803,51,26938.735098039215
101,Fornecedor_7,2023-02-13,2023-02-26,2023-02-26,39838.89,Tecnologia,13,-1189,13,10.592623950650546,0,0.3269230769230769,52,26954.52903846154
102,Fornecedor_6,2023-01-21,2023-02-03,2023-02-01,27544.71,Insumos,13,-1212,11,10.223602085577525,0,0.28888888888888886,45,26625.86022222222
103,Fornecedor_14,2023-01-31,2023-02-19,2023-02-17,36442.41,Tecnologia,19,-1196,17,10.503515925480883,0,0.3404255319148936,47,27536.185319148935
104,Fornecedor_1,2023-02-06,2023-02-15,2023-02-17,41684.9,Equipamentos,9,-1200,11,10.637918221111823,1,0.39215686274509803,51,26938.735098039215
105,Fornecedor_9,2023-12-26,2024-01-18,2024-01-16,22087.85,Equipamentos,23,-863,21,10.002828235303461,0,0.22727272727272727,44,26572.065454545453
106,Fornecedor_16,2023-09-21,2023-10-03,2023-10-01,42312.35,Tecnologia,12,-970,10,10.65285791807915,0,0.2545454545454545,55,23819.375818181816
107,Fornecedor_20,2023-10-29,2023-11-13,2023-11-12,29408.42,Tecnologia,15,-929,14,10.289070310170304,0,0.3220338983050847,59,21740.94559322034
108,Fornecedor_9,2023-02-27,2023-03-17,2023-03-16,17326.29,Medicamentos,18,-1170,17,9.760037994255418,0,0.22727272727272727,44,26572.065454545453
109,Fornecedor_17,2023-08-29,2023-09-14,2023-09-15,8251.62,Equipamentos,16,-989,17,9.018286004669795,1,0.37037037037037035,54,25592.20962962963
110,Fornecedor_6,2023-07-30,2023-08-14,2023-08-12,38952.19,Tecnologia,15,-1020,13,10.570115947816912,0,0.28888888888888886,45,26625.86022222222
111,Fornecedor_7,2023-04-07,2023-04-22,2023-04-26,9251.58,Insumos,15,-1134,19,9.132657710534739,1,0.3269230769230769,52,26954.52903846154
112,Fornecedor_17,2023-09-27,2023-10-17,2023-10-20,48142.7,Medicamentos,20,-956,23,10.78194556754433,1,0.37037037037037035,54,25592.20962962963
113,Fornecedor_17,2023-01-11,2023-01-20,2023-01-18,3257.6,Tecnologia,9,-1226,7,8.089052934268855,0,0.37037037037037035,54,25592.20962962963
114,Fornecedor_12,2023-10-07,2023-10-23,2023-10-28,26992.96,Tecnologia,16,-950,21,10.203368416257357,1,0.20512820512820512,39,27436.36
115,Fornecedor_15,2023-12-04,2023-12-22,2023-12-27,14101.19,Equipamentos,18,-890,23,9.554085383454426,1,0.34615384615384615,52,27936.5375
116,Fornecedor_19,2023-06-02,2023-06-13,2023-06-13,29694.94,Equipamentos,11,-1082,11,10.298765615109748,0,0.3793103448275862,58,30085.888275862068
117,Fornecedor_17,2023-07-22,2023-07-29,2023-07-27,31488.79,Equipamentos,7,-1036,5,10.357418645289092,0,0.37037037037037035,54,25592.20962962963
118,Fornecedor_4,2023-05-29,2023-06-06,2023-06-04,43311.6,Medicamentos,8,-1089,6,10.676198864731903,0,0.32,50,24059.582799999996
119,Fornecedor_17,2023-05-21,2023-06-05,2023-06-05,35422.53,Tecnologia,15,-1090,15,10.475131567579334,0,0.37037037037037035,54,25592.20962962963
120,Fornecedor_6,2023-07-13,2023-07-22,2023-07-21,36640.21,Equipamentos,9,-1043,8,10.508928842260254,0,0.28888888888888886,45,26625.86022222222
121,Fornecedor_1,2023-04-05,2023-04-13,2023-04-11,8155.09,Insumos,8,-1143,6,9.006520166454454,0,0.39215686274509803,51,26938.735098039215
122,Fornecedor_4,2023-03-02,2023-03-12,2023-03-18,49178.28,Tecnologia,10,-1175,16,10.803227675565415,1,0.32,50,24059.582799999996
123,Fornecedor_1,2023-06-02,2023-06-25,2023-06-25,2165.43,Insumos,23,-1070,23,7.680835930480273,0,0.39215686274509803,51,26938.735098039215
124,Fornecedor_4,2023-12-05,2023-12-16,2023-12-16,13183.58,Insumos,11,-896,11,9.486803243900049,0,0.32,50,24059.582799999996
125,Fornecedor_19,2023-12-20,2024-01-07,2024-01-06,32142.17,Equipamentos,18,-874,17,10.377955265417208,0,0.3793103448275862,58,30085.888275862068
126,Fornecedor_2,2023-05-11,2023-05-30,2023-05-28,10828.51,Equipamentos,19,-1096,17,9.290030094280791,0,0.23255813953488372,43,24466.852790697674
127,Fornecedor_3,2023-08-09,2023-08-28,2023-08-27,8164.59,Insumos,19,-1006,18,9.007684262438788,0,0.24444444444444444,45,23814.126444444442
128,Fornecedor_15,2023-04-14,2023-04-28,2023-04-28,32417.68,Insumos,14,-1128,14,10.386490078853114,0,0.34615384615384615,52,27936.5375
129,Fornecedor_14,2023-12-21,2024-01-01,2024-01-07,44243.96,Medicamentos,11,-880,17,10.697496745644086,1,0.3404255319148936,47,27536.185319148935
130,Fornecedor_17,2023-09-24,2023-10-15,2023-10-19,12955.96,Equipamentos,21,-958,25,9.469388374489679,1,0.37037037037037035,54,25592.20962962963
131,Fornecedor_1,2023-07-02,2023-07-10,2023-07-11,7745.01,Medicamentos,8,-1055,9,8.954933151062761,1,0.39215686274509803,51,26938.735098039215
132,Fornecedor_4,2023-12-19,2023-12-31,2023-12-31,46426.27,Medicamentos,12,-881,12,10.745642281094462,0,0.32,50,24059.582799999996
133,Fornecedor_10,2023-12-05,2023-12-16,2023-12-14,8686.46,Insumos,11,-896,9,9.069635885545901,0,0.34545454545454546,55,25275.839636363635
134,Fornecedor_11,2023-07-18,2023-07-23,2023-07-22,14589.46,Medicamentos,5,-1042,4,9.58812316946396,0,0.125,48,25942.747083333335
135,Fornecedor_18,2023-07-14,2023-08-06,2023-08-05,4706.05,Equipamentos,23,-1028,22,8.456816663821886,0,0.3409090909090909,44,23445.405000000002
136,Fornecedor_13,2023-11-24,2023-12-08,2023-12-07,11124.18,Medicamentos,14,-904,13,9.31696628667883,0,0.2786885245901639,61,27560.733770491803
137,Fornecedor_11,2023-06-26,2023-07-10,2023-07-09,20345.45,Tecnologia,14,-1055,13,9.920661728478615,0,0.125,48,25942.747083333335
138,Fornecedor_11,2023-02-24,2023-03-04,2023-03-02,32062.94,Equipamentos,8,-1183,6,10.375487313185301,0,0.125,48,25942.747083333335
139,Fornecedor_18,2023-01-16,2023-02-08,2023-02-08,14287.93,Medicamentos,23,-1207,23,9.567240390583711,0,0.3409090909090909,44,23445.405000000002
140,Fornecedor_2,2023-06-20,2023-07-10,2023-07-15,17103.09,Tecnologia,20,-1055,25,9.747072895178016,1,0.23255813953488372,43,24466.852790697674
141,Fornecedor_9,2023-01-21,2023-01-27,2023-01-27,43150.42,Insumos,6,-1219,6,10.672470604428966,0,0.22727272727272727,44,26572.065454545453
142,Fornecedor_19,2023-04-29,2023-05-11,2023-05-10,40532.05,Medicamentos,12,-1115,11,10.609872969690084,0,0.3793103448275862,58,30085.888275862068
143,Fornecedor_11,2023-10-06,2023-10-19,2023-10-19,11053.02,Tecnologia,13,-954,13,9.310549441691373,0,0.125,48,25942.747083333335
144,Fornecedor_7,2023-04-25,2023-05-07,2023-05-07,19497.13,Insumos,12,-1119,12,9.878073842517487,0,0.3269230769230769,52,26954.52903846154
145,Fornecedor_13,2023-04-08,2023-05-02,2023-05-05,27096.26,Equipamentos,24,-1124,27,10.207187894745063,1,0.2786885245901639,61,27560.733770491803
146,Fornecedor_16,2023-07-01,2023-07-07,2023-07-06,23665.37,Equipamentos,6,-1058,5,10.071810332065509,0,0.2545454545454545,55,23819.375818181816
147,Fornecedor_20,2023-12-07,2023-12-19,2023-12-18,14239.21,Equipamentos,12,-893,11,9.56382493204824,0,0.3220338983050847,59,21740.94559322034
148,Fornecedor_11,2023-01-11,2023-01-19,2023-01-23,2120.36,Equipamentos,8,-1227,12,7.659812671420802,1,0.125,48,25942.747083333335
149,Fornecedor_12,2023-04-07,2023-04-19,2023-04-17,44181.94,Tecnologia,12,-1137,10,10.696094020708419,0,0.20512820512820512,39,27436.36
150,Fornecedor_13,2023-07-03,2023-07-17,2023-07-16,22328.48,Equipamentos,14,-1048,13,10.013663057505285,0,0.2786885245901639,61,27560.733770491803
151,Fornecedor_8,2023-11-14,2023-12-08,2023-12-08,7955.99,Tecnologia,24,-904,24,8.981806066621687,0,0.3269230769230769,52,28221.404230769233
152,Fornecedor_19,2023-02-26,2023-03-11,2023-03-09,17369.92,Tecnologia,13,-1176,11,9.762552822714541,0,0.3793103448275862,58,30085.888275862068
153,Fornecedor_12,2023-08-06,2023-08-18,2023-08-16,26004.48,Insumos,12,-1016,10,10.166062564025674,0,0.20512820512820512,39,27436.36
154,Fornecedor_11,2023-08-20,2023-08-29,2023-08-29,2282.29,Medicamentos,9,-1005,9,7.733372664305885,0,0.125,48,25942.747083333335
155,Fornecedor_10,2023-04-07,2023-04-25,2023-04-29,29780.87,Tecnologia,18,-1131,22,10.301655098087908,1,0.34545454545454546,55,25275.839636363635
156,Fornecedor_16,2023-01-26,2023-02-09,2023-02-07,17740.28,Insumos,14,-1206,12,9.783649406586461,0,0.2545454545454545,55,23819.375818181816
157,Fornecedor_16,2023-05-22,2023-06-11,2023-06-11,31815.16,Equipamentos,20,-1084,20,10.36772961579115,0,0.2545454545454545,55,23819.375818181816
158,Fornecedor_13,2023-08-01,2023-08-20,2023-08-20,11558.04,Insumos,19,-1014,19,9.355223093795244,0,0.2786885245901639,61,27560.733770491803
159,Fornecedor_17,2023-04-27,2023-05-02,2023-04-30,10716.22,Medicamentos,5,-1124,3,9.279607072635171,0,0.37037037037037035,54,25592.20962962963
160,Fornecedor_10,2023-10-27,2023-11-20,2023-11-19,20862.08,Insumos,24,-922,23,9.945736368662137,0,0.34545454545454546,55,25275.839636363635
161,Fornecedor_19,2023-05-15,2023-06-08,2023-06-12,2976.63,Equipamentos,24,-1087,28,7.998882961065603,1,0.3793103448275862,58,30085.888275862068
162,Fornecedor_17,2023-07-25,2023-07-31,2023-07-30,25483.75,Tecnologia,6,-1034,5,10.14583551303405,0,0.37037037037037035,54,25592.20962962963
163,Fornecedor_12,2023-07-04,2023-07-17,2023-07-21,24201.39,Insumos,13,-1048,17,10.094206667598876,1,0.20512820512820512,39,27436.36
164,Fornecedor_10,2023-01-25,2023-02-13,2023-02-14,32982.69,Tecnologia,19,-1202,20,10.403768475846329,1,0.34545454545454546,55,25275.839636363635
165,Fornecedor_7,2023-05-18,2023-06-02,2023-06-02,23136.22,Insumos,15,-1093,15,10.049197855241808,0,0.3269230769230769,52,26954.52903846154
166,Fornecedor_5,2023-07-19,2023-08-08,2023-08-08,13658.17,Equipamentos,20,-1026,20,9.522166369931737,0,0.41304347826086957,46,26724.331521739132
167,Fornecedor_13,2023-11-06,2023-11-29,2023-11-28,13299.7,Tecnologia,23,-913,22,9.4955719444038,0,0.2786885245901639,61,27560.733770491803
168,Fornecedor_17,2023-11-22,2023-11-30,2023-12-03,15391.45,Equipamentos,8,-912,11,9.641632408444861,1,0.37037037037037035,54,25592.20962962963
169,Fornecedor_5,2023-12-24,2024-01-01,2024-01-04,37791.87,Insumos,8,-880,11,10.539875739477248,1,0.41304347826086957,46,26724.331521739132
170,Fornecedor_6,2023-09-06,2023-09-18,2023-09-16,44966.61,Insumos,12,-985,10,10.713697731810287,0,0.28888888888888886,45,26625.86022222222
171,Fornecedor_6,2023-01-22,2023-02-06,2023-02-05,46741.48,Insumos,15,-1209,14,10.752408666163207,0,0.28888888888888886,45,26625.86022222222
172,Fornecedor_6,2023-10-24,2023-11-08,2023-11-07,2233.86,Equipamentos,15,-934,14,7.711933865264685,0,0.28888888888888886,45,26625.86022222222
173,Fornecedor_2,2023-03-19,2023-04-01,2023-04-01,38402.59,Equipamentos,13,-1155,13,10.555906223789274,0,0.23255813953488372,43,24466.852790697674
