OF_id,fornecedor,data_emissao,prazo_entrega,data_entrega_real,valor,categoria
78,Fornecedor_2,2023-09-01,2023-09-06,2023-09-04,43987.89,Tecnologia
79,Fornecedor_12,2023-12-15,2024-01-07,2024-01-07,45622.79,Equipamentos
80,Fornecedor_19,2023-03-16,2023-03-22,2023-03-21,25968.37,Medicamentos
81,Fornecedor_4,2023-07-10,2023-07-20,2023-07-18,21377.6,Tecnologia
82,Fornecedor_9,2023-10-30,2023-11-17,2023-11-17,2172.04,Tecnologia
83,Fornecedor_13,2023-08-05,2023-08-18,2023-08-17,6861.65,Medicamentos
84,Fornecedor_6,2023-06-01,2023-06-24,2023-06-22,24442.4,Tecnologia
85,Fornecedor_9,2023-07-03,2023-07-26,2023-07-28,25517.1,Tecnologia
86,Fornecedor_16,2023-11-18,2023-11-29,2023-11-29,12674.39,Equipamentos
87,Fornecedor_11,2023-11-30,2023-12-22,2023-12-27,40067.1,Tecnologia
88,Fornecedor_10,2023-09-17,2023-10-10,2023-10-10,11608.93,Tecnologia
89,Fornecedor_11,2023-09-11,2023-09-22,2023-09-20,38313.12,Insumos
90,Fornecedor_20,2023-09-20,2023-09-29,2023-10-03,23046.39,Equipamentos
91,Fornecedor_15,2023-02-22,2023-03-04,2023-03-06,49928.48,Equipamentos
92,Fornecedor_8,2023-01-03,2023-01-10,2023-01-08,26607.19,Equipamentos
93,Fornecedor_6,2023-03-18,2023-04-11,2023-04-11,9258.94,Insumos
94,Fornecedor_13,2023-05-30,2023-06-08,2023-06-11,25124.93,Medicamentos
95,Fornecedor_2,2023-07-23,2023-08-14,2023-08-13,30896.38,Tecnologia
96,Fornecedor_4,2023-09-21,2023-10-09,2023-10-08,43755.72,Tecnologia
97,Fornecedor_15,2023-03-19,2023-04-03,2023-04-03,12969.0,Insumos
98,Fornecedor_2,2023-07-20,2023-08-13,2023-08-19,17473.15,Insumos
99,Fornecedor_14,2023-03-17,2023-04-08,2023-04-14,44782.04,Medicamentos
100,Fornecedor_1,2023-11-29,2023-12-04,2023-12-06,22521.38,Equipamentos
101,Fornecedor_7,2023-02-13,2023-02-26,2023-02-26,39838.89,Tecnologia
102,Fornecedor_6,2023-01-21,2023-02-03,2023-02-01,27544.71,Insumos
103,Fornecedor_14,2023-01-31,2023-02-19,2023-02-17,36442.41,Tecnologia
104,Fornecedor_1,2023-02-06,2023-02-15,2023-02-17,41684.9,Equipamentos
105,Fornecedor_9,2023-12-26,2024-01-18,2024-01-16,22087.85,Equipamentos
106,Fornecedor_16,2023-09-21,2023-10-03,2023-10-01,42312.35,Tecnologia
107,Fornecedor_20,2023-10-29,2023-11-13,2023-11-12,29408.42,Tecnologia
108,Fornecedor_9,2023-02-27,2023-03-17,2023-03-16,17326.29,Medicamentos
109,Fornecedor_17,2023-08-29,2023-09-14,2023-09-15,8251.62,Equipamentos
110,Fornecedor_6,2023-07-30,2023-08-14,2023-08-12,38952.19,Tecnologia
111,Fornecedor_7,2023-04-07,2023-04-22,2023-04-26,9251.58,Insumos
112,Fornecedor_17,2023-09-27,2023-10-17,2023-10-20,48142.7,Medicamentos
113,Fornecedor_17,2023-01-11,2023-01-20,2023-01-18,3257.6,Tecnologia
114,Fornecedor_12,2023-10-07,2023-10-23,2023-10-28,26992.96,Tecnologia
115,Fornecedor_15,2023-12-04,2023-12-22,2023-12-27,14101.19,Equipamentos
116,Fornecedor_19,2023-06-02,2023-06-13,2023-06-13,29694.94,Equipamentos
117,Fornecedor_17,2023-07-22,2023-07-29,2023-07-27,31488.79,Equipamentos
118,Fornecedor_4,2023-05-29,2023-06-06,2023-06-04,43311.6,Medicamentos
119,Fornecedor_17,2023-05-21,2023-06-05,2023-06-05,35422.53,Tecnologia
120,Fornecedor_6,2023-07-13,2023-07-22,2023-07-21,36640.21,Equipamentos
121,Fornecedor_1,2023-04-05,2023-04-13,2023-04-11,8155.09,Insumos
122,Fornecedor_4,2023-03-02,2023-03-12,2023-03-18,49178.28,Tecnologia
123,Fornecedor_1,2023-06-02,2023-06-25,2023-06-25,2165.43,Insumos
124,Fornecedor_4,2023-12-05,2023-12-16,2023-12-16,13183.58,Insumos
125,Fornecedor_19,2023-12-20,2024-01-07,2024-01-06,32142.17,Equipamentos
126,Fornecedor_2,2023-05-11,2023-05-30,2023-05-28,10828.51,Equipamentos
127,Fornecedor_3,2023-08-09,2023-08-28,2023-08-27,8164.59,Insumos
128,Fornecedor_15,2023-04-14,2023-04-28,2023-04-28,32417.68,Insumos
129,Fornecedor_14,2023-12-21,2024-01-01,2024-01-07,44243.96,Medicamentos
130,Fornecedor_17,2023-09-24,2023-10-15,2023-10-19,12955.96,Equipamentos
131,Fornecedor_1,2023-07-02,2023-07-10,2023-07-11,7745.01,Medicamentos
132,Fornecedor_4,2023-12-19,2023-12-31,2023-12-31,46426.27,Medicamentos
133,Fornecedor_10,2023-12-05,2023-12-16,2023-12-14,8686.46,Insumos
134,Fornecedor_11,2023-07-18,2023-07-23,2023-07-22,14589.46,Medicamentos
135,Fornecedor_18,2023-07-14,2023-08-06,2023-08-05,4706.05,Equipamentos
136,Fornecedor_13,2023-11-24,2023-12-08,2023-12-07,11124.18,Medicamentos
137,Fornecedor_11,2023-06-26,2023-07-10,2023-07-09,20345.45,Tecnologia
138,Fornecedor_11,2023-02-24,2023-03-04,2023-03-02,32062.94,Equipamentos
139,Fornecedor_18,2023-01-16,2023-02-08,2023-02-08,14287.93,Medicamentos
140,Fornecedor_2,2023-06-20,2023-07-10,2023-07-15,17103.09,Tecnologia
141,Fornecedor_9,2023-01-21,2023-01-27,2023-01-27,43150.42,Insumos
142,Fornecedor_19,2023-04-29,2023-05-11,2023-05-10,40532.05,Medicamentos
143,Fornecedor_11,2023-10-06,2023-10-19,2023-10-19,11053.02,Tecnologia
144,Fornecedor_7,2023-04-25,2023-05-07,2023-05-07,19497.13,Insumos
145,Fornecedor_13,2023-04-08,2023-05-02,2023-05-05,27096.26,Equipamentos
146,Fornecedor_16,2023-07-01,2023-07-07,2023-07-06,23665.37,Equipamentos
147,Fornecedor_20,2023-12-07,2023-12-19,2023-12-18,14239.21,Equipamentos
148,Fornecedor_11,2023-01-11,2023-01-19,2023-01-23,2120.36,Equipamentos
149,Fornecedor_12,2023-04-07,2023-04-19,2023-04-17,44181.94,Tecnologia
150,Fornecedor_13,2023-07-03,2023-07-17,2023-07-16,22328.48,Equipamentos
151,Fornecedor_8,2023-11-14,2023-12-08,2023-12-08,7955.99,Tecnologia
152,Fornecedor_19,2023-02-26,2023-03-11,2023-03-09,17369.92,Tecnologia
153,Fornecedor_12,2023-08-06,2023-08-18,2023-08-16,26004.48,Insumos
154,Fornecedor_11,2023-08-20,2023-08-29,2023-08-29,2282.29,Medicamentos
155,Fornecedor_10,2023-04-07,2023-04-25,2023-04-29,29780.87,Tecnologia
156,Fornecedor_16,2023-01-26,2023-02-09,2023-02-07,17740.28,Insumos
157,Fornecedor_16,2023-05-22,2023-06-11,2023-06-11,31815.16,Equipamentos
158,Fornecedor_13,2023-08-01,2023-08-20,2023-08-20,11558.04,Insumos
159,Fornecedor_17,2023-04-27,2023-05-02,2023-04-30,10716.22,Medicamentos
160,Fornecedor_10,2023-10-27,2023-11-20,2023-11-19,20862.08,Insumos
161,Fornecedor_19,2023-05-15,2023-06-08,2023-06-12,2976.63,Equipamentos
162,Fornecedor_17,2023-07-25,2023-07-31,2023-07-30,25483.75,Tecnologia
163,Fornecedor_12,2023-07-04,2023-07-17,2023-07-21,24201.39,Insumos
164,Fornecedor_10,2023-01-25,2023-02-13,2023-02-14,32982.69,Tecnologia
165,Fornecedor_7,2023-05-18,2023-06-02,2023-06-02,23136.22,Insumos
166,Fornecedor_5,2023-07-19,2023-08-08,2023-08-08,13658.17,Equipamentos
167,Fornecedor_13,2023-11-06,2023-11-29,2023-11-28,13299.7,Tecnologia
168,Fornecedor_17,2023-11-22,2023-11-30,2023-12-03,15391.45,Equipamentos
169,Fornecedor_5,2023-12-24,2024-01-01,2024-01-04,37791.87,Insumos
170,Fornecedor_6,2023-09-06,2023-09-18,2023-09-16,44966.61,Insumos
171,Fornecedor_6,2023-01-22,2023-02-06,2023-02-05,46741.48,Insumos
172,Fornecedor_6,2023-10-24,2023-11-08,2023-11-07,2233.86,Equipamentos
173,Fornecedor_2,2023-03-19,2023-04-01,2023-04-01,38402.59,Equipamentos
174,Fornecedor_19,2023-08-08,2023-08-25,2023-08-24,19603.14,Medicamentos
175,Fornecedor_5,2023-06-27,2023-07-20,2023-07-26,13650.14,Tecnologia
176,Fornecedor_18,2023-10-31,2023-11-12,2023-11-14,34590.26,Insumos
177,Fornecedor_19,2023-02-15,2023-02-28,2023-02-26,32486.0,Insumos
178,Fornecedor_8,2023-12-10,2023-12-29,2023-12-28,38162.24,Medicamentos
179,Fornecedor_7,2023-05-25,2023-06-01,2023-05-31,21857.16,Tecnologia
180,Fornecedor_10,2023-08-23,2023-08-31,2023-09-01,26191.18,Tecnologia
181,Fornecedor_8,2023-02-15,2023-03-08,2023-03-07,40690.51,Insumos
182,Fornecedor_16,2023-11-19,2023-12-04,2023-12-03,27039.65,Equipamentos
183,Fornecedor_16,2023-10-30,2023-11-08,2023-11-08,14876.62,Insumos
184,Fornecedor_14,2023-03-05,2023-03-26,2023-03-24,42405.34,Equipamentos
185,Fornecedor_12,2023-11-28,2023-12-18,2023-12-18,43213.36,Equipamentos
186,Fornecedor_3,2023-02-05,2023-02-20,2023-02-20,4420.51,Equipamentos
187,Fornecedor_4,2023-02-03,2023-02-10,2023-02-13,45299.65,Medicamentos
188,Fornecedor_7,2023-05-11,2023-05-29,2023-05-31,32358.16,Tecnologia
189,Fornecedor_6,2023-03-25,2023-04-14,2023-04-20,44142.1,Tecnologia
190,Fornecedor_8,2023-02-18,2023-03-03,2023-03-04,32803.96,Medicamentos
191,Fornecedor_17,2023-11-07,2023-11-15,2023-11-16,11298.25,Tecnologia
192,Fornecedor_15,2023-10-16,2023-11-06,2023-11-05,48662.68,Medicamentos
193,Fornecedor_13,2023-09-11,2023-10-01,2023-09-30,28045.59,Medicamentos
194,Fornecedor_9,2023-06-06,2023-06-25,2023-06-23,17864.23,Equipamentos
195,Fornecedor_11,2023-02-25,2023-03-19,2023-03-18,15000.56,Insumos
196,Fornecedor_11,2023-07-30,2023-08-19,2023-08-19,37752.03,Medicamentos
197,Fornecedor_16,2023-10-15,2023-10-23,2023-10-21,26850.32,Equipamentos
198,Fornecedor_10,2023-01-29,2023-02-12,2023-02-12,9788.96,Medicamentos
199,Fornecedor_7,2023-08-11,2023-08-30,2023-08-29,45478.8,Insumos
200,Fornecedor_15,2023-11-27,2023-12-04,2023-12-07,47946.82,Insumos
201,Fornecedor_8,2023-05-17,2023-06-03,2023-06-06,14196.76,Equipamentos
202,Fornecedor_4,2023-04-20,2023-04-25,2023-04-30,29438.5,Insumos
203,Fornecedor_8,2023-04-10,2023-04-16,2023-04-14,10293.25,Equipamentos
204,Fornecedor_20,2023-02-02,2023-02-09,2023-02-15,15714.39,Insumos
205,Fornecedor_19,2023-01-09,2023-01-27,2023-01-27,45458.11,Medicamentos
206,Fornecedor_16,2023-03-26,2023-04-11,2023-04-14,29687.81,Tecnologia
207,Fornecedor_19,2023-02-20,2023-03-16,2023-03-17,29332.36,Equipamentos
208,Fornecedor_16,2023-03-21,2023-04-06,2023-04-04,45295.28,Insumos
209,Fornecedor_8,2023-06-19,2023-07-03,2023-07-02,6683.97,Tecnologia
210,Fornecedor_10,2023-11-17,2023-12-07,2023-12-07,39658.12,Medicamentos
211,Fornecedor_16,2023-04-19,2023-05-07,2023-05-07,20160.98,Tecnologia
212,Fornecedor_18,2023-07-31,2023-08-13,2023-08-11,22535.14,Tecnologia
213,Fornecedor_14,2023-01-25,2023-02-05,2023-02-03,43411.58,Equipamentos
214,Fornecedor_20,2023-04-24,2023-05-14,2023-05-15,31089.69,Equipamentos
215,Fornecedor_6,2023-10-04,2023-10-18,2023-10-19,21466.75,Medicamentos
216,Fornecedor_14,2023-02-14,2023-03-05,2023-03-04,17308.92,Insumos
217,Fornecedor_11,2023-09-29,2023-10-22,2023-10-21,30267.62,Insumos
218,Fornecedor_13,2023-06-08,2023-06-14,2023-06-18,29901.81,Equipamentos
219,Fornecedor_13,2023-10-03,2023-10-14,2023-10-14,24030.46,Insumos
220,Fornecedor_19,2023-09-09,2023-09-25,2023-09-23,18157.91,Insumos
221,Fornecedor_12,2023-06-04,2023-06-23,2023-06-27,37058.45,Insumos
222,Fornecedor_11,2023-08-24,2023-09-07,2023-09-05,9493.98,Equipamentos
223,Fornecedor_17,2023-03-28,2023-04-12,2023-04-11,7527.35,Tecnologia
224,Fornecedor_8,2023-08-16,2023-08-24,2023-08-27,48289.89,Medicamentos
225,Fornecedor_19,2023-02-23,2023-03-17,2023-03-16,2149.34,Tecnologia
226,Fornecedor_2,2023-09-01,2023-09-21,2023-09-20,10002.65,Insumos
227,Fornecedor_9,2023-10-18,2023-10-26,2023-10-27,43741.48,Tecnologia
228,Fornecedor_9,2023-04-11,2023-05-01,2023-05-01,26180.35,Insumos
229,Fornecedor_4,2023-08-17,2023-08-28,2023-08-30,14557.32,Insumos
230,Fornecedor_13,2023-10-16,2023-10-31,2023-10-29,14082.28,Tecnologia
231,Fornecedor_12,2023-10-08,2023-10-18,2023-10-17,24031.01,Tecnologia
232,Fornecedor_6,2023-07-31,2023-08-18,2023-08-19,20959.38,Tecnologia
233,Fornecedor_3,2023-08-18,2023-09-06,2023-09-05,27275.98,Insumos
234,Fornecedor_4,2023-04-05,2023-04-25,2023-04-25,4001.0,Insumos
235,Fornecedor_17,2023-06-16,2023-06-25,2023-06-23,23642.85,Equipamentos
236,Fornecedor_17,2023-06-25,2023-07-16,2023-07-20,41917.57,Equipamentos
237,Fornecedor_4,2023-08-20,2023-09-13,2023-09-12,13085.2,Insumos
238,Fornecedor_18,2023-03-21,2023-04-04,2023-04-05,9221.15,Equipamentos
239,Fornecedor_20,2023-03-05,2023-03-29,2023-03-27,28233.21,Medicamentos
240,Fornecedor_12,2023-03-29,2023-04-21,2023-04-19,25555.53,Medicamentos
241,Fornecedor_9,2023-10-26,2023-11-14,2023-11-12,28016.66,Medicamentos
242,Fornecedor_2,2023-07-22,2023-08-02,2023-08-01,19427.52,Insumos
243,Fornecedor_15,2023-07-14,2023-07-24,2023-07-25,11184.75,Tecnologia
244,Fornecedor_11,2023-08-05,2023-08-14,2023-08-14,10675.0,Tecnologia
245,Fornecedor_13,2023-08-15,2023-09-03,2023-09-08,49912.77,Insumos
246,Fornecedor_2,2023-06-08,2023-06-20,2023-06-26,28240.86,Medicamentos
247,Fornecedor_15,2023-05-26,2023-06-02,2023-05-31,47666.67,Equipamentos
248,Fornecedor_14,2023-11-21,2023-12-09,2023-12-14,8131.68,Medicamentos
249,Fornecedor_20,2023-11-17,2023-12-02,2023-12-08,7681.83,Equipamentos
250,Fornecedor_19,2023-07-08,2023-07-30,2023-08-02,43429.34,Medicamentos
251,Fornecedor_20,2023-07-26,2023-08-01,2023-08-04,40020.01,Insumos
252,Fornecedor_10,2023-05-26,2023-06-13,2023-06-17,15148.07,Equipamentos
253,Fornecedor_13,2023-06-17,2023-07-07,2023-07-05,47709.51,Equipamentos
254,Fornecedor_14,2023-06-13,2023-07-05,2023-07-03,24518.64,Insumos
255,Fornecedor_6,2023-06-06,2023-06-12,2023-06-11,49066.12,Tecnologia
256,Fornecedor_20,2023-05-31,2023-06-16,2023-06-16,15357.68,Tecnologia
257,Fornecedor_18,2023-10-22,2023-11-07,2023-11-07,7699.06,Insumos
258,Fornecedor_7,2023-06-19,2023-06-26,2023-06-25,43840.61,Equipamentos
259,Fornecedor_16,2023-07-25,2023-08-01,2023-08-01,9329.88,Tecnologia
260,Fornecedor_11,2023-11-23,2023-11-28,2023-11-27,18914.69,Equipamentos
261,Fornecedor_1,2023-06-03,2023-06-27,2023-06-26,13653.6,Medicamentos
262,Fornecedor_20,2023-08-19,2023-09-12,2023-09-10,46334.95,Tecnologia
263,Fornecedor_10,2023-08-29,2023-09-10,2023-09-09,42661.42,Equipamentos
264,Fornecedor_19,2023-02-18,2023-02-26,2023-02-26,26575.96,Equipamentos
265,Fornecedor_9,2023-06-28,2023-07-18,2023-07-16,14529.45,Medicamentos
266,Fornecedor_6,2023-10-28,2023-11-14,2023-11-13,43126.51,Insumos
267,Fornecedor_3,2023-04-16,2023-05-05,2023-05-04,15961.28,Tecnologia
268,Fornecedor_17,2023-07-02,2023-07-13,2023-07-12,10608.8,Insumos
269,Fornecedor_10,2023-09-14,2023-09-24,2023-09-24,10473.11,Equipamentos
270,Fornecedor_4,2023-12-09,2023-12-16,2023-12-15,35657.99,Equipamentos
271,Fornecedor_5,2023-09-30,2023-10-15,2023-10-15,22098.02,Medicamentos
272,Fornecedor_11,2023-10-03,2023-10-23,2023-10-21,27204.54,Equipamentos
273,Fornecedor_11,2023-09-23,2023-10-12,2023-10-11,47268.72,Medicamentos
274,Fornecedor_15,2023-04-23,2023-04-29,2023-05-03,11070.2,Tecnologia
275,Fornecedor_13,2023-08-09,2023-08-25,2023-08-24,10910.7,Medicamentos
276,Fornecedor_16,2023-02-21,2023-03-10,2023-03-09,7744.8,Insumos
277,Fornecedor_19,2023-05-19,2023-06-08,2023-06-08,48500.9,Tecnologia
278,Fornecedor_3,2023-05-04,2023-05-27,2023-05-27,22786.82,Equipamentos
279,Fornecedor_6,2023-11-21,2023-12-09,2023-12-08,28036.38,Tecnologia
280,Fornecedor_5,2023-09-28,2023-10-04,2023-10-03,11130.66,Insumos
281,Fornecedor_19,2023-07-11,2023-07-22,2023-07-20,44809.61,Equipamentos
282,Fornecedor_6,2023-01-22,2023-01-28,2023-02-02,27494.95,Tecnologia
283,Fornecedor_20,2023-06-24,2023-07-18,2023-07-21,12318.87,Medicamentos
284,Fornecedor_5,2023-05-12,2023-05-31,2023-06-04,26967.39,Tecnologia
285,Fornecedor_20,2023-12-11,2023-12-16,2023-12-14,35793.47,Medicamentos
286,Fornecedor_19,2023-07-28,2023-08-16,2023-08-14,24491.65,Medicamentos
287,Fornecedor_1,2023-02-24,2023-03-02,2023-03-01,24673.93,Insumos
288,Fornecedor_6,2023-03-13,2023-03-30,2023-04-05,12858.58,Medicamentos
289,Fornecedor_15,2023-01-15,2023-02-05,2023-02-07,46984.36,Tecnologia
290,Fornecedor_6,2023-07-25,2023-07-30,2023-07-28,40848.22,Medicamentos
291,Fornecedor_10,2023-05-24,2023-06-11,2023-06-14,30389.6,Insumos
292,Fornecedor_11,2023-11-06,2023-11-24,2023-11-25,26764.34,Tecnologia
293,Fornecedor_3,2023-08-01,2023-08-24,2023-08-30,30952.62,Medicamentos
294,Fornecedor_18,2023-04-25,2023-05-04,2023-05-02,28181.08,Tecnologia
295,Fornecedor_17,2023-08-27,2023-09-11,2023-09-10,38885.97,Tecnologia
296,Fornecedor_19,2023-02-14,2023-03-04,2023-03-03,49123.25,Equipamentos
297,Fornecedor_18,2023-02-07,2023-02-26,2023-03-03,46605.11,Equipamentos
298,Fornecedor_5,2023-05-31,2023-06-12,2023-06-18,13500.13,Tecnologia
299,Fornecedor_11,2023-11-29,2023-12-07,2023-12-13,22686.74,Equipamentos
300,Fornecedor_2,2023-01-13,2023-01-19,2023-01-19,3177.08,Equipamentos
301,Fornecedor_17,2023-11-12,2023-11-27,2023-11-29,34421.48,Medicamentos
302,Fornecedor_16,2023-08-04,2023-08-09,2023-08-08,35379.08,Medicamentos
303,Fornecedor_6,2023-05-06,2023-05-16,2023-05-20,46942.81,Tecnologia
304,Fornecedor_7,2023-02-13,2023-03-02,2023-03-01,15209.27,Tecnologia
305,Fornecedor_2,2023-10-22,2023-11-13,2023-11-12,11582.99,Insumos
306,Fornecedor_1,2023-04-02,2023-04-17,2023-04-16,38697.49,Tecnologia
307,Fornecedor_16,2023-04-23,2023-05-12,2023-05-12,17296.42,Tecnologia
308,Fornecedor_19,2023-09-11,2023-09-20,2023-09-24,12909.31,Tecnologia
309,Fornecedor_3,2023-11-22,2023-12-15,2023-12-13,12235.86,Equipamentos
310,Fornecedor_10,2023-08-15,2023-09-06,2023-09-06,47254.78,Insumos
311,Fornecedor_13,2023-06-21,2023-07-15,2023-07-15,49161.62,Tecnologia
312,Fornecedor_18,2023-07-04,2023-07-24,2023-07-29,38392.67,Medicamentos
313,Fornecedor_7,2023-03-15,2023-04-06,2023-04-11,45682.65,Medicamentos
314,Fornecedor_7,2023-11-05,2023-11-17,2023-11-16,9821.55,Insumos
315,Fornecedor_14,2023-03-31,2023-04-12,2023-04-11,26852.59,Tecnologia
316,Fornecedor_9,2023-01-28,2023-02-02,2023-02-02,10247.83,Tecnologia
317,Fornecedor_5,2023-02-13,2023-02-20,2023-02-20,6879.06,Insumos
318,Fornecedor_3,2023-01-02,2023-01-26,2023-01-25,2465.96,Insumos
319,Fornecedor_3,2023-12-05,2023-12-14,2023-12-18,48621.6,Insumos
320,Fornecedor_7,2023-05-08,2023-05-29,2023-05-31,43218.33,Insumos
