OF_id,fornecedor,data_emissao,prazo_entrega,data_entrega_real,valor,categoria,dias_prazo,dias_para_vencer,dias_entrega_real,valor_log,atraso,taxa_atraso_fornecedor,total_of_fornecedor,valor_medio_fornecedor,risk_score,prioridade
40,Fornecedor_20,2023-03-13,2023-03-19,2023-03-18,2570.78,Equipamentos,6,-1168,5,7.852353545151617,0,0.3220338983050847,59,21740.94559322034,0.29049334300867197,Baixa
41,Fornecedor_3,2023-02-19,2023-02-28,2023-02-26,31717.74,Insumos,9,-1187,7,10.364662952387313,0,0.24444444444444444,45,23814.126444444442,0.16618212875084784,Baixa
42,Fornecedor_6,2023-11-10,2023-11-21,2023-11-20,19754.11,Medicamentos,11,-921,10,9.891167471040568,0,0.28888888888888886,45,26625.86022222222,0.26569994995468166,Baixa
43,Fornecedor_10,2023-01-04,2023-01-10,2023-01-10,13974.19,Tecnologia,6,-1236,6,9.545038893637498,0,0.34545454545454546,55,25275.839636363635,0.521685719146324,Média
44,Fornecedor_14,2023-10-08,2023-10-22,2023-10-24,14010.12,Medicamentos,14,-951,16,9.547606579033719,1,0.3404255319148936,47,27536.185319148935,0.6065494106366404,Média
45,Fornecedor_13,2023-02-13,2023-02-21,2023-02-27,26921.55,Tecnologia,8,-1194,14,10.200719504383965,1,0.2786885245901639,61,27560.733770491803,0.6670827902478748,Média
46,Fornecedor_8,2023-03-18,2023-04-06,2023-04-12,25397.33,Insumos,19,-1150,25,10.142438702813635,1,0.3269230769230769,52,28221.404230769233,0.7682008226497902,Alta
47,Fornecedor_5,2023-01-27,2023-02-04,2023-02-02,31722.24,Insumos,8,-1211,6,10.364804814290347,0,0.41304347826086957,46,26724.331521739132,0.42647352795448046,Média
48,Fornecedor_8,2023-11-05,2023-11-29,2023-11-27,11513.08,Insumos,24,-913,22,9.351325913274845,0,0.3269230769230769,52,28221.404230769233,0.1597033510074633,Baixa
49,Fornecedor_10,2023-12-03,2023-12-21,2023-12-22,27698.28,Tecnologia,18,-891,19,10.229161699057828,1,0.34545454545454546,55,25275.839636363635,0.7471357195617256,Alta
50,Fornecedor_19,2023-04-20,2023-05-14,2023-05-13,32252.78,Insumos,24,-1112,23,10.381390524657771,0,0.3793103448275862,58,30085.888275862068,0.2553721122491389,Baixa
51,Fornecedor_14,2023-10-25,2023-11-03,2023-11-01,36706.76,Equipamentos,9,-939,7,10.51074345583319,0,0.3404255319148936,47,27536.185319148935,0.23353756850122365,Baixa
52,Fornecedor_18,2023-01-16,2023-02-05,2023-02-10,36708.48,Equipamentos,20,-1210,25,10.510790311312919,1,0.3409090909090909,44,23445.405000000002,0.7375350110891177,Alta
53,Fornecedor_14,2023-03-06,2023-03-22,2023-03-21,25212.41,Insumos,16,-1165,15,10.135131274818857,0,0.3404255319148936,47,27536.185319148935,0.18738531031353478,Baixa
54,Fornecedor_6,2023-07-16,2023-07-25,2023-07-28,21030.21,Equipamentos,9,-1040,12,9.95376280389368,1,0.28888888888888886,45,26625.86022222222,0.5700337014233581,Média
55,Fornecedor_15,2023-01-26,2023-02-12,2023-02-10,5349.73,Medicamentos,17,-1203,15,8.58498827917992,0,0.34615384615384615,52,27936.5375,0.21859544752473184,Baixa
56,Fornecedor_11,2023-08-15,2023-08-26,2023-08-26,20976.82,Tecnologia,11,-1008,11,9.951220968067156,0,0.125,48,25942.747083333335,0.07768355078640113,Baixa
57,Fornecedor_10,2023-10-10,2023-11-03,2023-11-07,26763.06,Tecnologia,24,-939,28,10.194815221717562,1,0.34545454545454546,55,25275.839636363635,0.7451972055142829,Alta
58,Fornecedor_2,2023-06-03,2023-06-24,2023-06-24,12588.52,Medicamentos,21,-1071,21,9.440620000815171,0,0.23255813953488372,43,24466.852790697674,0.21640997135931198,Baixa
59,Fornecedor_4,2023-04-15,2023-05-05,2023-05-04,18058.07,Tecnologia,20,-1121,19,9.801403330628451,0,0.32,50,24059.582799999996,0.22262423004779583,Baixa
60,Fornecedor_8,2023-01-23,2023-02-01,2023-01-31,7098.91,Tecnologia,9,-1214,8,8.867837386892727,0,0.3269230769230769,52,28221.404230769233,0.3920145630050749,Média
61,Fornecedor_8,2023-09-23,2023-10-08,2023-10-06,46893.62,Tecnologia,15,-965,13,10.75565823570091,0,0.3269230769230769,52,28221.404230769233,0.29186594203034616,Baixa
62,Fornecedor_10,2023-07-15,2023-07-26,2023-07-24,48697.64,Equipamentos,11,-1039,9,10.793406382602711,0,0.34545454545454546,55,25275.839636363635,0.24844844023506638,Baixa
63,Fornecedor_14,2023-05-07,2023-05-16,2023-05-22,36765.42,Equipamentos,9,-1110,15,10.512340207575457,1,0.3404255319148936,47,27536.185319148935,0.2719088765481184,Baixa
64,Fornecedor_1,2023-10-07,2023-10-15,2023-10-19,28498.68,Insumos,8,-958,12,10.257648138123532,1,0.39215686274509803,51,26938.735098039215,0.68352495571158,Média
65,Fornecedor_17,2023-12-23,2023-12-28,2023-12-30,29507.56,Tecnologia,5,-884,7,10.292435669728413,1,0.37037037037037035,54,25592.20962962963,0.7129202548563107,Alta
66,Fornecedor_14,2023-06-05,2023-06-16,2023-06-14,22194.23,Medicamentos,11,-1079,9,10.007632679908744,0,0.3404255319148936,47,27536.185319148935,0.31543823529715853,Baixa
67,Fornecedor_14,2023-11-10,2023-12-03,2023-12-03,47769.19,Insumos,23,-909,23,10.774157083767767,0,0.3404255319148936,47,27536.185319148935,0.3070084712078994,Baixa
68,Fornecedor_20,2023-03-25,2023-04-08,2023-04-12,19234.35,Tecnologia,14,-1148,18,9.86450501101773,1,0.3220338983050847,59,21740.94559322034,0.6183645192112179,Média
69,Fornecedor_3,2023-06-16,2023-07-09,2023-07-09,36756.07,Equipamentos,23,-1056,23,10.512085867090521,0,0.24444444444444444,45,23814.126444444442,0.5064887695181858,Média
70,Fornecedor_2,2023-05-17,2023-06-07,2023-06-06,44149.89,Insumos,21,-1088,20,10.695368364379322,0,0.23255813953488372,43,24466.852790697674,0.19366535290206108,Baixa
71,Fornecedor_12,2023-10-16,2023-10-31,2023-10-30,20991.12,Medicamentos,15,-942,14,9.951902408190891,0,0.20512820512820512,39,27436.36,0.15541164654572254,Baixa
72,Fornecedor_13,2023-09-24,2023-10-16,2023-10-16,12164.96,Insumos,22,-957,22,9.406397167023856,0,0.2786885245901639,61,27560.733770491803,0.14865345989436618,Baixa
73,Fornecedor_2,2023-10-07,2023-10-30,2023-11-05,33005.0,Equipamentos,23,-943,29,10.404444642103513,1,0.23255813953488372,43,24466.852790697674,0.603062351611857,Média
74,Fornecedor_17,2023-05-24,2023-05-29,2023-05-28,35932.34,Medicamentos,5,-1097,4,10.489420834317663,0,0.37037037037037035,54,25592.20962962963,0.26908242831219376,Baixa
75,Fornecedor_6,2023-08-28,2023-09-08,2023-09-14,39504.96,Equipamentos,11,-995,17,10.584206825583003,1,0.28888888888888886,45,26625.86022222222,0.6024110533441408,Média
76,Fornecedor_19,2023-03-29,2023-04-16,2023-04-15,20004.72,Medicamentos,18,-1140,17,9.903773511645925,0,0.3793103448275862,58,30085.888275862068,0.18891418260176812,Baixa
77,Fornecedor_4,2023-10-09,2023-10-14,2023-10-12,41038.1,Tecnologia,5,-959,3,10.622280549779628,0,0.32,50,24059.582799999996,0.2740852669295915,Baixa
78,Fornecedor_2,2023-09-01,2023-09-06,2023-09-04,43987.89,Tecnologia,5,-997,3,10.691692381016907,0,0.23255813953488372,43,24466.852790697674,0.13698598713201987,Baixa
79,Fornecedor_12,2023-12-15,2024-01-07,2024-01-07,45622.79,Equipamentos,23,-874,23,10.72818456998517,0,0.20512820512820512,39,27436.36,0.29344426764274767,Baixa
80,Fornecedor_19,2023-03-16,2023-03-22,2023-03-21,25968.37,Medicamentos,6,-1165,5,10.164673045602438,0,0.3793103448275862,58,30085.888275862068,0.1782223058155004,Baixa
81,Fornecedor_4,2023-07-10,2023-07-20,2023-07-18,21377.6,Tecnologia,10,-1045,8,9.97014570067636,0,0.32,50,24059.582799999996,0.4601946533320528,Média
82,Fornecedor_9,2023-10-30,2023-11-17,2023-11-17,2172.04,Tecnologia,18,-925,18,7.683882387818256,0,0.22727272727272727,44,26572.065454545453,0.17648767513959734,Baixa
83,Fornecedor_13,2023-08-05,2023-08-18,2023-08-17,6861.65,Medicamentos,13,-1016,12,8.833848943502403,0,0.2786885245901639,61,27560.733770491803,0.1469978162225872,Baixa
84,Fornecedor_6,2023-06-01,2023-06-24,2023-06-22,24442.4,Tecnologia,23,-1071,21,10.104115519812716,0,0.28888888888888886,45,26625.86022222222,0.44565490549503617,Média
85,Fornecedor_9,2023-07-03,2023-07-26,2023-07-28,25517.1,Tecnologia,23,-1039,25,10.147143283276424,1,0.22727272727272727,44,26572.065454545453,0.525017353896419,Média
86,Fornecedor_16,2023-11-18,2023-11-29,2023-11-29,12674.39,Equipamentos,11,-913,11,9.44741759721679,0,0.2545454545454545,55,23819.375818181816,0.09986912288336404,Baixa
87,Fornecedor_11,2023-11-30,2023-12-22,2023-12-27,40067.1,Tecnologia,22,-890,27,10.598335785485753,1,0.125,48,25942.747083333335,0.10439124980251967,Baixa
88,Fornecedor_10,2023-09-17,2023-10-10,2023-10-10,11608.93,Tecnologia,23,-963,23,9.359616045388663,0,0.34545454545454546,55,25275.839636363635,0.28635798655637335,Baixa
89,Fornecedor_11,2023-09-11,2023-09-22,2023-09-20,38313.12,Insumos,11,-981,9,10.553573775634549,0,0.125,48,25942.747083333335,0.12670743311618624,Baixa
90,Fornecedor_20,2023-09-20,2023-09-29,2023-10-03,23046.39,Equipamentos,9,-974,13,10.045307809909435,1,0.3220338983050847,59,21740.94559322034,0.7597358196066643,Alta
91,Fornecedor_15,2023-02-22,2023-03-04,2023-03-06,49928.48,Equipamentos,10,-1183,12,10.81836688886001,1,0.34615384615384615,52,27936.5375,0.7353654672056894,Alta
92,Fornecedor_8,2023-01-03,2023-01-10,2023-01-08,26607.19,Equipamentos,7,-1236,5,10.188974342116776,0,0.3269230769230769,52,28221.404230769233,0.2791774749118504,Baixa
93,Fornecedor_6,2023-03-18,2023-04-11,2023-04-11,9258.94,Insumos,24,-1145,24,9.133452848137592,0,0.28888888888888886,45,26625.86022222222,0.22214711585170913,Baixa
94,Fornecedor_13,2023-05-30,2023-06-08,2023-06-11,25124.93,Medicamentos,9,-1087,12,10.131655659601714,1,0.2786885245901639,61,27560.733770491803,0.5581243463744312,Média
95,Fornecedor_2,2023-07-23,2023-08-14,2023-08-13,30896.38,Tecnologia,22,-1020,21,10.338426669646978,0,0.23255813953488372,43,24466.852790697674,0.48154120182215177,Média
96,Fornecedor_4,2023-09-21,2023-10-09,2023-10-08,43755.72,Tecnologia,18,-964,17,10.686400479990489,0,0.32,50,24059.582799999996,0.1897124067882503,Baixa
97,Fornecedor_15,2023-03-19,2023-04-03,2023-04-03,12969.0,Insumos,15,-1153,15,9.47039427731049,0,0.34615384615384615,52,27936.5375,0.30005487058432295,Baixa
98,Fornecedor_2,2023-07-20,2023-08-13,2023-08-19,17473.15,Insumos,24,-1021,30,9.76847792500341,1,0.23255813953488372,43,24466.852790697674,0.25367442980820426,Baixa
99,Fornecedor_14,2023-03-17,2023-04-08,2023-04-14,44782.04,Medicamentos,22,-1148,28,10.709584775298252,1,0.3404255319148936,47,27536.185319148935,0.63854492011957,Média
100,Fornecedor_1,2023-11-29,2023-12-04,2023-12-06,22521.38,Equipamentos,5,-908,7,10.022264760506074,1,0.39215686274509803,51,26938.735098039215,0.6904622802027621,Alta
101,Fornecedor_7,2023-02-13,2023-02-26,2023-02-26,39838.89,Tecnologia,13,-1189,13,10.592623950650546,0,0.3269230769230769,52,26954.52903846154,0.4306962356188523,Média
102,Fornecedor_6,2023-01-21,2023-02-03,2023-02-01,27544.71,Insumos,13,-1212,11,10.223602085577525,0,0.28888888888888886,45,26625.86022222222,0.23668093160681267,Baixa
103,Fornecedor_14,2023-01-31,2023-02-19,2023-02-17,36442.41,Tecnologia,19,-1196,17,10.503515925480883,0,0.3404255319148936,47,27536.185319148935,0.2360990093476738,Baixa
104,Fornecedor_1,2023-02-06,2023-02-15,2023-02-17,41684.9,Equipamentos,9,-1200,11,10.637918221111823,1,0.39215686274509803,51,26938.735098039215,0.7777659934070754,Alta
105,Fornecedor_9,2023-12-26,2024-01-18,2024-01-16,22087.85,Equipamentos,23,-863,21,10.002828235303461,0,0.22727272727272727,44,26572.065454545453,0.16887307882865568,Baixa
106,Fornecedor_16,2023-09-21,2023-10-03,2023-10-01,42312.35,Tecnologia,12,-970,10,10.65285791807915,0,0.2545454545454545,55,23819.375818181816,0.25469043958967696,Baixa
107,Fornecedor_20,2023-10-29,2023-11-13,2023-11-12,29408.42,Tecnologia,15,-929,14,10.289070310170304,0,0.3220338983050847,59,21740.94559322034,0.3752382883210413,Baixa
108,Fornecedor_9,2023-02-27,2023-03-17,2023-03-16,17326.29,Medicamentos,18,-1170,17,9.760037994255418,0,0.22727272727272727,44,26572.065454545453,0.08945363151603665,Baixa
109,Fornecedor_17,2023-08-29,2023-09-14,2023-09-15,8251.62,Equipamentos,16,-989,17,9.018286004669795,1,0.37037037037037035,54,25592.20962962963,0.3113517290888929,Baixa
110,Fornecedor_6,2023-07-30,2023-08-14,2023-08-12,38952.19,Tecnologia,15,-1020,13,10.570115947816912,0,0.28888888888888886,45,26625.86022222222,0.5391664166061592,Média
111,Fornecedor_7,2023-04-07,2023-04-22,2023-04-26,9251.58,Insumos,15,-1134,19,9.132657710534739,1,0.3269230769230769,52,26954.52903846154,0.28689003453379236,Baixa
112,Fornecedor_17,2023-09-27,2023-10-17,2023-10-20,48142.7,Medicamentos,20,-956,23,10.78194556754433,1,0.37037037037037035,54,25592.20962962963,0.6956794271618877,Alta
113,Fornecedor_17,2023-01-11,2023-01-20,2023-01-18,3257.6,Tecnologia,9,-1226,7,8.089052934268855,0,0.37037037037037035,54,25592.20962962963,0.3212449842198107,Baixa
114,Fornecedor_12,2023-10-07,2023-10-23,2023-10-28,26992.96,Tecnologia,16,-950,21,10.203368416257357,1,0.20512820512820512,39,27436.36,0.5543507268544613,Média
115,Fornecedor_15,2023-12-04,2023-12-22,2023-12-27,14101.19,Equipamentos,18,-890,23,9.554085383454426,1,0.34615384615384615,52,27936.5375,0.6683729917346984,Média
116,Fornecedor_19,2023-06-02,2023-06-13,2023-06-13,29694.94,Equipamentos,11,-1082,11,10.298765615109748,0,0.3793103448275862,58,30085.888275862068,0.21683779627906408,Baixa
117,Fornecedor_17,2023-07-22,2023-07-29,2023-07-27,31488.79,Equipamentos,7,-1036,5,10.357418645289092,0,0.37037037037037035,54,25592.20962962963,0.18318919763884617,Baixa
118,Fornecedor_4,2023-05-29,2023-06-06,2023-06-04,43311.6,Medicamentos,8,-1089,6,10.676198864731903,0,0.32,50,24059.582799999996,0.2607740919829819,Baixa
119,Fornecedor_17,2023-05-21,2023-06-05,2023-06-05,35422.53,Tecnologia,15,-1090,15,10.475131567579334,0,0.37037037037037035,54,25592.20962962963,0.26245398517464297,Baixa
120,Fornecedor_6,2023-07-13,2023-07-22,2023-07-21,36640.21,Equipamentos,9,-1043,8,10.508928842260254,0,0.28888888888888886,45,26625.86022222222,0.39223420984814994,Média
121,Fornecedor_1,2023-04-05,2023-04-13,2023-04-11,8155.09,Insumos,8,-1143,6,9.006520166454454,0,0.39215686274509803,51,26938.735098039215,0.2440718185540579,Baixa
122,Fornecedor_4,2023-03-02,2023-03-12,2023-03-18,49178.28,Tecnologia,10,-1175,16,10.803227675565415,1,0.32,50,24059.582799999996,0.6699466827971355,Média
123,Fornecedor_1,2023-06-02,2023-06-25,2023-06-25,2165.43,Insumos,23,-1070,23,7.680835930480273,0,0.39215686274509803,51,26938.735098039215,0.22467535874849598,Baixa
124,Fornecedor_4,2023-12-05,2023-12-16,2023-12-16,13183.58,Insumos,11,-896,11,9.486803243900049,0,0.32,50,24059.582799999996,0.4089923034751575,Média
125,Fornecedor_19,2023-12-20,2024-01-07,2024-01-06,32142.17,Equipamentos,18,-874,17,10.377955265417208,0,0.3793103448275862,58,30085.888275862068,0.27036104662593546,Baixa
126,Fornecedor_2,2023-05-11,2023-05-30,2023-05-28,10828.51,Equipamentos,19,-1096,17,9.290030094280791,0,0.23255813953488372,43,24466.852790697674,0.2347078192897402,Baixa
127,Fornecedor_3,2023-08-09,2023-08-28,2023-08-27,8164.59,Insumos,19,-1006,18,9.007684262438788,0,0.24444444444444444,45,23814.126444444442,0.12792205591528968,Baixa
128,Fornecedor_15,2023-04-14,2023-04-28,2023-04-28,32417.68,Insumos,14,-1128,14,10.386490078853114,0,0.34615384615384615,52,27936.5375,0.24970150434582,Baixa
129,Fornecedor_14,2023-12-21,2024-01-01,2024-01-07,44243.96,Medicamentos,11,-880,17,10.697496745644086,1,0.3404255319148936,47,27536.185319148935,0.6082813644184297,Média
130,Fornecedor_17,2023-09-24,2023-10-15,2023-10-19,12955.96,Equipamentos,21,-958,25,9.469388374489679,1,0.37037037037037035,54,25592.20962962963,0.5311130176801097,Média
131,Fornecedor_1,2023-07-02,2023-07-10,2023-07-11,7745.01,Medicamentos,8,-1055,9,8.954933151062761,1,0.39215686274509803,51,26938.735098039215,0.5675510906264579,Média
132,Fornecedor_4,2023-12-19,2023-12-31,2023-12-31,46426.27,Medicamentos,12,-881,12,10.745642281094462,0,0.32,50,24059.582799999996,0.44432599906659126,Média
133,Fornecedor_10,2023-12-05,2023-12-16,2023-12-14,8686.46,Insumos,11,-896,9,9.069635885545901,0,0.34545454545454546,55,25275.839636363635,0.2681907161718767,Baixa
134,Fornecedor_11,2023-07-18,2023-07-23,2023-07-22,14589.46,Medicamentos,5,-1042,4,9.58812316946396,0,0.125,48,25942.747083333335,0.09354035543511183,Baixa
135,Fornecedor_18,2023-07-14,2023-08-06,2023-08-05,4706.05,Equipamentos,23,-1028,22,8.456816663821886,0,0.3409090909090909,44,23445.405000000002,0.25940411836751376,Baixa
136,Fornecedor_13,2023-11-24,2023-12-08,2023-12-07,11124.18,Medicamentos,14,-904,13,9.31696628667883,0,0.2786885245901639,61,27560.733770491803,0.09909694970558049,Baixa
137,Fornecedor_11,2023-06-26,2023-07-10,2023-07-09,20345.45,Tecnologia,14,-1055,13,9.920661728478615,0,0.125,48,25942.747083333335,0.07773918625132481,Baixa
138,Fornecedor_11,2023-02-24,2023-03-04,2023-03-02,32062.94,Equipamentos,8,-1183,6,10.375487313185301,0,0.125,48,25942.747083333335,0.2737326538772617,Baixa
139,Fornecedor_18,2023-01-16,2023-02-08,2023-02-08,14287.93,Medicamentos,23,-1207,23,9.567240390583711,0,0.3409090909090909,44,23445.405000000002,0.3199938865348373,Baixa
140,Fornecedor_2,2023-06-20,2023-07-10,2023-07-15,17103.09,Tecnologia,20,-1055,25,9.747072895178016,1,0.23255813953488372,43,24466.852790697674,0.5620316980183749,Média
141,Fornecedor_9,2023-01-21,2023-01-27,2023-01-27,43150.42,Insumos,6,-1219,6,10.672470604428966,0,0.22727272727272727,44,26572.065454545453,0.15747103639942,Baixa
142,Fornecedor_19,2023-04-29,2023-05-11,2023-05-10,40532.05,Medicamentos,12,-1115,11,10.609872969690084,0,0.3793103448275862,58,30085.888275862068,0.22172226459986627,Baixa
143,Fornecedor_11,2023-10-06,2023-10-19,2023-10-19,11053.02,Tecnologia,13,-954,13,9.310549441691373,0,0.125,48,25942.747083333335,0.05294691312143595,Baixa
144,Fornecedor_7,2023-04-25,2023-05-07,2023-05-07,19497.13,Insumos,12,-1119,12,9.878073842517487,0,0.3269230769230769,52,26954.52903846154,0.15187819418807388,Baixa
145,Fornecedor_13,2023-04-08,2023-05-02,2023-05-05,27096.26,Equipamentos,24,-1124,27,10.207187894745063,1,0.2786885245901639,61,27560.733770491803,0.6532054885350702,Média
146,Fornecedor_16,2023-07-01,2023-07-07,2023-07-06,23665.37,Equipamentos,6,-1058,5,10.071810332065509,0,0.2545454545454545,55,23819.375818181816,0.18997509199906346,Baixa
147,Fornecedor_20,2023-12-07,2023-12-19,2023-12-18,14239.21,Equipamentos,12,-893,11,9.56382493204824,0,0.3220338983050847,59,21740.94559322034,0.5568132810200982,Média
148,Fornecedor_11,2023-01-11,2023-01-19,2023-01-23,2120.36,Equipamentos,8,-1227,12,7.659812671420802,1,0.125,48,25942.747083333335,0.5556054489885361,Média
